               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 103,            0.019872,            0.015407,           0.0010119,              0.9244,             0.87685,             0.91766,             0.67028,            0.023663,              0.0204,           0.0017676,            0.006634,            0.006634,            0.006634
                 104,            0.019738,            0.015317,          0.00095617,             0.93199,             0.87309,             0.91858,              0.6709,            0.023612,            0.020404,           0.0017718,            0.006601,            0.006601,            0.006601
                 105,            0.019511,            0.015359,           0.0010228,             0.92497,             0.88203,             0.91442,             0.66956,            0.023631,            0.020246,           0.0018624,            0.006568,            0.006568,            0.006568
                 106,            0.019647,            0.015071,           0.0010047,              0.9238,             0.88132,             0.91509,             0.66907,            0.023552,              0.0202,           0.0018711,            0.006535,            0.006535,            0.006535
                 107,            0.019581,            0.015105,          0.00096828,             0.93269,             0.88006,             0.92115,              0.6744,            0.023422,            0.019937,           0.0018187,            0.006502,            0.006502,            0.006502
                 108,            0.019725,            0.015067,           0.0009882,             0.92722,             0.87807,             0.91577,             0.67036,             0.02339,            0.020183,           0.0018465,            0.006469,            0.006469,            0.006469
                 109,            0.019468,            0.015155,          0.00096648,             0.92426,             0.88491,             0.91779,             0.66815,            0.023437,            0.020357,           0.0018547,            0.006436,            0.006436,            0.006436
                 110,            0.019193,            0.014979,          0.00093388,             0.92652,             0.89527,             0.92396,              0.6732,            0.023303,            0.020274,           0.0018477,            0.006403,            0.006403,            0.006403
                 111,            0.019334,            0.014968,          0.00097751,             0.93583,             0.87618,             0.92039,             0.67059,            0.023425,            0.020477,           0.0019074,             0.00637,             0.00637,             0.00637
                 112,            0.019447,            0.014935,          0.00098578,             0.93412,             0.87205,             0.91738,             0.66865,            0.023426,            0.020303,           0.0019222,            0.006337,            0.006337,            0.006337
                 113,            0.019314,            0.015051,          0.00093814,             0.93353,             0.87908,              0.9184,              0.6693,            0.023413,            0.020128,           0.0018323,            0.006304,            0.006304,            0.006304
                 114,            0.019304,            0.015147,          0.00096847,             0.92837,             0.87438,             0.91818,             0.66916,            0.023395,            0.020165,           0.0018151,            0.006271,            0.006271,            0.006271
                 115,            0.019158,            0.014945,          0.00098685,             0.93082,              0.8748,             0.91683,             0.66905,            0.023452,            0.020262,            0.001844,            0.006238,            0.006238,            0.006238
                 116,            0.019164,            0.014984,            0.000979,             0.93006,             0.87708,             0.91698,              0.6671,             0.02337,            0.020271,           0.0018059,            0.006205,            0.006205,            0.006205
                 117,            0.019162,            0.014837,          0.00099478,             0.92384,             0.88214,             0.91846,             0.66873,            0.023398,            0.020431,           0.0018117,            0.006172,            0.006172,            0.006172
                 118,            0.019224,            0.015073,          0.00097521,             0.92096,             0.88472,             0.92122,             0.67179,            0.023328,            0.020199,           0.0017943,            0.006139,            0.006139,            0.006139
                 119,            0.019006,            0.014858,           0.0009845,             0.92141,             0.88313,             0.91641,             0.67253,            0.023295,            0.020253,           0.0018048,            0.006106,            0.006106,            0.006106
                 120,            0.019126,            0.014703,          0.00094484,             0.93546,             0.87747,             0.91984,             0.67514,            0.023295,            0.020176,           0.0017473,            0.006073,            0.006073,            0.006073
                 121,            0.018993,            0.014621,          0.00096161,              0.9323,             0.88424,             0.91802,             0.67261,            0.023303,              0.0203,           0.0017784,             0.00604,             0.00604,             0.00604
                 122,            0.018871,            0.014511,          0.00098701,             0.93948,             0.88044,             0.91987,              0.6702,            0.023265,            0.020233,           0.0016841,            0.006007,            0.006007,            0.006007
                 123,            0.018806,             0.01458,           0.0009139,             0.93868,             0.87814,              0.9216,             0.67234,            0.023234,            0.020261,            0.001711,            0.005974,            0.005974,            0.005974
                 124,            0.018553,            0.014432,          0.00090933,             0.93444,             0.87469,             0.91869,             0.67468,            0.023254,            0.020278,           0.0017118,            0.005941,            0.005941,            0.005941
                 125,            0.018621,            0.014489,          0.00094072,             0.93516,             0.88105,              0.9218,             0.67317,            0.023277,            0.020346,           0.0017351,            0.005908,            0.005908,            0.005908
                 126,            0.018546,            0.014559,           0.0009109,             0.93175,             0.89072,             0.92004,             0.67645,            0.023199,            0.020446,           0.0016887,            0.005875,            0.005875,            0.005875
                 127,              0.0189,             0.01465,          0.00095631,             0.92927,             0.88556,             0.92133,             0.67517,            0.023183,             0.02048,           0.0017548,            0.005842,            0.005842,            0.005842
                 128,            0.018484,            0.014475,          0.00085803,             0.92697,             0.88812,             0.92189,             0.67739,            0.023215,            0.020415,            0.001784,            0.005809,            0.005809,            0.005809
                 129,            0.018479,            0.014598,          0.00092757,             0.92533,             0.89043,             0.91953,             0.67467,             0.02324,            0.020474,           0.0017862,            0.005776,            0.005776,            0.005776
                 130,            0.018361,             0.01437,          0.00086422,             0.92963,              0.8835,             0.92172,             0.67857,            0.023208,            0.020462,           0.0017395,            0.005743,            0.005743,            0.005743
                 131,            0.018385,            0.014355,          0.00088763,              0.9276,             0.88825,             0.92217,             0.68053,            0.023186,             0.02056,           0.0017431,             0.00571,             0.00571,             0.00571
                 132,            0.018387,            0.014468,          0.00092083,             0.93114,             0.88599,             0.92385,             0.67823,            0.023141,            0.020465,           0.0016876,            0.005677,            0.005677,            0.005677
                 133,            0.018374,            0.014338,          0.00092127,             0.92442,             0.89357,              0.9256,             0.68082,            0.023123,             0.02028,           0.0016897,            0.005644,            0.005644,            0.005644
                 134,             0.01834,            0.014523,          0.00089659,             0.92356,             0.88719,             0.92148,             0.67703,             0.02313,            0.020366,           0.0017329,            0.005611,            0.005611,            0.005611
                 135,            0.018241,            0.014173,          0.00093677,             0.92389,             0.88837,             0.92138,             0.67608,            0.023146,            0.020387,           0.0017601,            0.005578,            0.005578,            0.005578
                 136,            0.018255,            0.014078,          0.00091645,             0.92873,             0.88987,             0.91943,             0.67407,            0.023231,            0.020438,             0.00178,            0.005545,            0.005545,            0.005545
                 137,            0.018075,            0.014029,          0.00090586,             0.91845,             0.89229,             0.91763,             0.67489,            0.023278,            0.020502,           0.0017833,            0.005512,            0.005512,            0.005512
                 138,            0.018322,            0.014081,          0.00089404,             0.92535,             0.89227,             0.92055,             0.67432,            0.023217,            0.020528,           0.0017571,            0.005479,            0.005479,            0.005479
                 139,            0.018221,            0.014245,          0.00092168,             0.92516,             0.89093,              0.9222,             0.67536,            0.023196,            0.020547,           0.0017141,            0.005446,            0.005446,            0.005446
                 140,            0.018125,            0.014039,          0.00084742,             0.92211,             0.89352,             0.92357,             0.67574,            0.023229,            0.020582,           0.0016951,            0.005413,            0.005413,            0.005413
                 141,            0.018024,            0.014204,          0.00092614,             0.92632,             0.88449,             0.91956,             0.67519,            0.023185,            0.020526,           0.0016855,             0.00538,             0.00538,             0.00538
                 142,            0.017803,             0.01389,           0.0008737,             0.92997,             0.88174,             0.91869,             0.67565,            0.023163,            0.020617,           0.0016873,            0.005347,            0.005347,            0.005347
                 143,            0.017745,            0.013757,          0.00094549,             0.92948,             0.87898,             0.91833,              0.6759,            0.023084,            0.020523,           0.0016924,            0.005314,            0.005314,            0.005314
                 144,            0.017988,            0.013952,          0.00083662,             0.92242,             0.88335,             0.91996,             0.67634,            0.023032,            0.020537,           0.0017151,            0.005281,            0.005281,            0.005281
